product_id,category,sub_category,description,unit_cost,order_id,order_date,ship_date,ship_mode,customer_id,sales,quantity,discount,profit,profit_margin,days_to_ship,order_year,order_month_no,order_day,order_day_name,margin_category
FUR-BO-10000008,Furniture,Bookcases,"Sauder Library with Doors, Traditional",360.51,ID-2022-83625,2022-07-28,2022-07-31,Second Class,RS-19420,465.156,2,0.4,-255.864,-0.55,3,2022,7,3,Thursday,Low
FUR-BO-10000021,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,IN-2020-85480,2020-07-31,2020-08-02,First Class,CS-12490,243.06,2,0.14984677493348014,102.06,0.4198963218958282,2,2020,7,4,Friday,High
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,IN-2020-21206,2020-02-07,2020-02-12,Standard Class,SC-20800,1236.33,3,0.0,519.21,0.4199606901070103,5,2020,2,4,Friday,High
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,IN-2019-50060,2019-09-07,2019-09-14,Standard Class,MC-17575,2472.66,6,0.14984677493348014,1038.42,0.4199606901070103,7,2019,9,5,Saturday,High
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,IN-2019-25889,2019-12-08,2019-12-12,Standard Class,BP-11185,2596.293,7,0.1,923.013,0.35551187789667804,4,2019,12,6,Sunday,High
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,IN-2022-23894,2022-04-02,2022-04-05,Second Class,LP-17095,766.5246,2,0.07,288.4446,0.38,3,2022,4,5,Saturday,High
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",239.04,IN-2021-25560,2021-07-26,2021-07-29,First Class,GH-14425,1236.33,3,0.0,519.21,0.42,3,2021,7,0,Monday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2022-66062,2022-01-29,2022-02-02,Standard Class,RB-19705,336.6,2,0.0,158.16,0.47,4,2022,1,5,Saturday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2021-34401,2021-12-01,2021-12-05,Standard Class,SS-20410,504.9,3,0.0,237.24,0.47,4,2021,12,2,Wednesday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2021-17048,2021-12-03,2021-12-09,Standard Class,SH-19975,530.145,5,0.37,84.045,0.16,6,2021,12,4,Friday,Medium
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2019-41394,2019-11-26,2019-12-01,Standard Class,AG-10675,546.975,5,0.35,100.875,0.18,5,2019,11,1,Tuesday,Medium
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2022-44376,2022-05-24,2022-05-29,Standard Class,CS-12400,454.41,3,0.1,186.75,0.41097246979599916,5,2022,5,1,Tuesday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2021-25805,2021-10-01,2021-10-06,Standard Class,HF-14995,168.3,1,0.0,79.08,0.47,5,2021,10,4,Friday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,IN-2020-57823,2020-12-06,2020-12-11,Standard Class,CR-12625,168.3,1,0.0,79.08,0.47,5,2020,12,6,Sunday,High
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",89.22,ID-2020-58530,2020-11-28,2020-12-03,Standard Class,ML-18265,336.6,2,0.0,158.16,0.47,5,2020,11,5,Saturday,High
FUR-BO-10000087,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,IN-2020-65915,2020-06-05,2020-06-07,Second Class,CC-12145,826.56,2,0.0,41.28,0.05,2,2020,6,4,Friday,Low
FUR-BO-10000087,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,ID-2022-11567,2022-06-04,2022-06-07,First Class,EK-13795,260.3664,1,0.37,-132.2736,-0.51,3,2022,6,5,Saturday,Low
FUR-BO-10000087,Furniture,Bookcases,"Dania Classic Bookcase, Mobile",392.64,IN-2022-32406,2022-11-26,2022-11-30,Standard Class,MH-17440,2066.4,5,0.0,103.2,0.05,4,2022,11,5,Saturday,Low
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,IN-2022-71235,2022-09-17,2022-09-17,Same Day,NC-18625,333.234,3,0.1,66.564,0.2,0,2022,9,5,Saturday,Medium
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,ID-2022-37894,2022-07-17,2022-07-17,Same Day,KL-16645,148.104,2,0.4,-29.676,-0.2,0,2022,7,6,Sunday,Low
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,IN-2020-10125,2020-05-09,2020-05-12,Second Class,AB-10600,617.1,5,0.0,172.65,0.28,3,2020,5,5,Saturday,Medium
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,ID-2020-39595,2020-01-14,2020-01-18,Standard Class,TH-21115,240.669,3,0.35,-26.001,-0.11,4,2020,1,1,Tuesday,Low
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,IN-2021-21381,2021-05-18,2021-05-23,Standard Class,DB-13555,229.5612,2,0.07,51.7812,0.23,5,2021,5,1,Tuesday,Medium
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,IN-2019-69429,2019-07-17,2019-07-21,Standard Class,CC-12610,244.08,2,0.0,68.34,0.28,4,2019,7,2,Wednesday,Medium
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,IN-2019-65320,2019-06-26,2019-06-30,Standard Class,GW-14605,439.344,4,0.1,87.864,0.2,4,2019,6,2,Wednesday,Medium
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,IN-2020-63395,2020-10-09,2020-10-13,Standard Class,JP-15460,567.486,5,0.07,128.136,0.23,4,2020,10,4,Friday,Medium
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,IN-2019-14332,2019-11-17,2019-11-20,First Class,AW-10840,195.264,2,0.2,19.524,0.1,3,2019,11,6,Sunday,Medium
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,IN-2021-37628,2021-11-29,2021-12-02,Second Class,AR-10570,488.16,4,0.0,136.68,0.28,3,2021,11,0,Monday,Medium
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,IN-2021-33785,2021-06-06,2021-06-12,Standard Class,BT-11680,248.22,2,0.0,96.78,0.39,6,2021,6,6,Sunday,High
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,IN-2021-74329,2021-08-16,2021-08-22,Standard Class,BF-11215,446.796,4,0.1,143.916,0.32,6,2021,8,0,Monday,High
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,IN-2022-56591,2022-12-30,2023-01-05,Standard Class,DK-12985,484.029,6,0.35,29.709,0.06,6,2022,12,4,Friday,Low
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2020-67931,2020-05-16,2020-05-21,Standard Class,JF-15190,2438.667,7,0.1,867.027,0.36,5,2020,5,5,Saturday,High
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2021-40477,2021-06-04,2021-06-08,Standard Class,NB-18655,1548.36,4,0.0,650.28,0.41997984964736884,4,2021,6,4,Friday,High
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2021-55555,2021-03-06,2021-03-10,Standard Class,VP-21760,719.9874,2,0.07,270.9474,0.38,4,2021,3,5,Saturday,High
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2022-52174,2022-10-23,2022-10-26,Second Class,JO-15145,696.762,2,0.1,247.722,0.36,3,2022,10,6,Sunday,High
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2020-69044,2020-05-25,2020-05-27,First Class,EB-13840,774.18,2,0.0,325.14,0.42,2,2020,5,0,Monday,High
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,IN-2021-59160,2021-09-10,2021-09-10,Same Day,JH-15820,696.762,2,0.1,247.722,0.36,0,2021,9,4,Friday,High
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,IN-2022-73265,2022-08-06,2022-08-10,Second Class,MT-17815,988.08,8,0.0,276.48,0.28,4,2022,8,5,Saturday,Medium
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,ID-2020-65236,2020-08-29,2020-09-03,Standard Class,AA-10375,185.265,3,0.5,-81.585,-0.44,5,2020,8,5,Saturday,Low
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,IN-2019-69429,2019-07-17,2019-07-21,Standard Class,CC-12610,1729.14,14,0.0,483.84,0.28,4,2019,7,2,Wednesday,Medium
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,IN-2022-70493,2022-10-23,2022-10-26,Second Class,TZ-21445,617.55,5,0.0,172.8,0.28,3,2022,10,6,Sunday,Medium
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,IN-2019-34751,2019-12-08,2019-12-12,Standard Class,JP-16135,370.53,3,0.0,103.68,0.28,4,2019,12,6,Sunday,Medium
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2020-50942,2020-11-15,2020-11-20,Second Class,JB-16000,729.48,2,0.0,218.82,0.3,5,2020,11,6,Sunday,High
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2020-55541,2020-12-05,2020-12-08,First Class,EH-13765,729.48,2,0.0,218.82,0.3,3,2020,12,5,Saturday,High
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2022-23761,2022-06-02,2022-06-04,First Class,MH-18115,1094.22,3,0.0,328.23,0.3,2,2022,6,3,Thursday,High
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2022-57683,2022-09-11,2022-09-15,Standard Class,DL-13330,1094.22,3,0.0,328.23,0.3,4,2022,9,6,Sunday,High
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2022-13954,2022-02-21,2022-02-27,Standard Class,AB-10600,2042.544,7,0.2,255.234,0.12,6,2022,2,0,Monday,Medium
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2020-29228,2020-01-21,2020-01-26,Standard Class,AR-10510,656.532,2,0.1,145.872,0.22,5,2020,1,1,Tuesday,Medium
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,IN-2019-56878,2019-11-15,2019-11-22,Standard Class,EB-14110,1356.8328,4,0.07,335.5128,0.25,7,2019,11,4,Friday,Medium
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,IN-2021-61232,2021-07-06,2021-07-12,Standard Class,HG-14965,1386.63,7,0.0,360.36,0.26,6,2021,7,1,Tuesday,Medium
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,ID-2022-48793,2022-10-18,2022-10-22,Standard Class,JA-15970,1123.1703,9,0.37,-196.3197,-0.17,4,2022,10,1,Tuesday,Low
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,ID-2020-37047,2020-11-23,2020-11-30,Standard Class,AG-10675,891.405,5,0.1,158.355,0.18,7,2020,11,0,Monday,Medium
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,ID-2021-15032,2021-10-01,2021-10-05,Standard Class,CC-12370,1289.5659,7,0.07,263.2959,0.2,4,2021,10,4,Friday,Medium
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,IN-2021-59755,2021-04-27,2021-04-30,Second Class,PG-18820,1314.45,3,0.0,39.42,0.03,3,2021,4,1,Tuesday,Low
